question,a,b,c,d,correct,exam code,subject,question_image,a_image,b_image,c_image,d_image,mark,chapter
The dimension of permittivity of free space $ \epsilon_\circ $ is,$ M^{-1}L^{3}T^{4}A^{2} $,$ M^{-1}L^{-3}T^{4}A^{2} $,$ M^{-1}L^{-3}T^{-4}A^{2} $,$ M^{-1}L^{-3}T^{4}A $,b,,Physics,,,,,,,
Two particles are projected with same initial velocities at angle $ 30^{\circ} $ and $ 60^{\circ} $ with horizontal then,Their heights will be same,Their range will be same,Their time of flight will be same,Their range will be different,b,,Physics,,,,,,,
If the momentum of the body increases by 50% then its KE increases by,50.00%,100.00%,125.00%,150.00%,c,,Physics,,,,,,,
A cyclist riding at a speed of 10 m/s takes a turn around a circular road of 10m. What is his inclination to the vertical?,$ 30^{\circ} $,$ 45^{\circ} $,$ tan^{-1}(0.5) $,$ cos^{-1}(\frac{1}{2}) $,b,,Physics,,,,,,,
Escape velocity from earth is 11.2 km/s. Another planet of same mass has radius $ \frac{1}{4} $ times of Earth. What is the escape velocity from another planet?,11.2 km/s,44.8 km/s,5.6 km/s,22.4 km/s,c,,Physics,,,,,,,
A capillary tube of length 5cm and interior radius 0.1mm open on both sides is lower vertically into water in a vessel. If surface tension of water is 25 dyne/cm then,water rises to a height 2 cm upward,water rises to a height 4 cm upward,water rises to full length of capillary but not overflow,water rises to whole length of capillary and overflow,c,,Physics,,,,,,,
50 gm of ice at $ 0^{\circ} $ c mixed with 50gm of water at $ 80^{\circ}c $. The final temperature of the mixture will be,$ 40^{\circ}c $,$ 50^{\circ}c $,$ 80^{\circ}c $,$ 0^{\circ}c $,d,,Physics,,,,,,,
A carnot's engine works between $ 27^{\circ}c $ and $ 127^{\circ}c $. It's efficiency is,25.00%,50.00%,100.00%,150.00%,a,,Physics,,,,,,,
Two sound waves are given by y = a sin(wt ? kx) and y' = b cos(wt ? kx). The phase difference is,$ \frac{\pi}{2} $,$ \frac{\pi}{4} $,$ \pi $,$ \frac{3\pi}{4} $,a,,Physics,,,,,,,
If $ n_1 $ and $ n_2 $ be the resonant frequencies of pipe open at both ends and open at one end only vibrating in fundamental mode then,$ n_1 = n_2 $,$ n_1 = 2n_2 $,$ n_1 = \frac{n_2}{2} $,$ n_1 = 4n_2 $,b,,Physics,,,,,,,
If an object is placed symmetrically between 2 plane mirrors inclined at an angle of $ 72^{\circ} $. Then the number of images will be,4,2,5,Infinity,a,,Physics,,,,,,,
The power produced by a prism of small angle A depends on,material of prism only,depends on A only,depends both on material and A,Neither on material or A,a,,Physics,,,,,,,
A charge q is placed at the centre of the line joining two equal charges Q. The system of three charges will be in equilibrium if q is equal to,$ - \frac{Q}{2} $,$ - \frac{Q}{4} $,-4Q,$  \frac{Q}{2} $,b,,Physics,,,,,,,
Two capacitors of charges $ Q_1 $ and $ Q_2 $ with different capacitances are charged to the same potential V. They are then connected by a wire. The resulting potential will be,less than V,less than 2V,Between V and 2V,equal to V,d,,Physics,,,,,,,
The quantity of electricity analogous to temperature is,resistance,potential,charge,self inductance,b,,Physics,,,,,,,
The magnetic field strength at a distance d from a short bar magnet in longitudional and transverse portion are in the ratio of,$ 1:1 $,$ 1:2 $,$ 2:1 $,$ 4:1 $,c,,Physics,,,,,,,
The UV photon is incident on a metal of photoelectric work function 2 eV and produces a photoelectron of enervy 2 eV. The wavelength associated with photon is,$ 9300 A^{\circ} $,$ 6200 A^{\circ} $,$ 4900 A^{\circ} $,$ 3100 A^{\circ} $,d,,Physics,,,,,,,
"The maximum wavelength of emitted X-ray photon is given by ( h, c and e have their usual meanings and V is the accelerating potential)",$ \frac{eV}{he} $,$ \frac{hc}{eV} $,$ \frac{h}{eV} $,$ \frac{h}{Vc} $,b,,Physics,,,,,,,
If the electron hydrogen atom jumps from third orbit to the second orbit then wavelength of emitted radiation is given by,$ \lambda = \frac{36}{5R} $,$ \lambda = \frac{5R}{36} $,$ \lambda = \frac{5}{R} $,$ \lambda = \frac{R}{6} $,a,,Physics,,,,,,,
A p-type semi-conductor is,positively charged,uncharged,negatively charged,may be +ve or -ve,b,,Physics,,,,,,,
$ [Cu(NH_3)_4]SO_4 $ is called,Schweitzer reagent,Etard's reagent,Barfoed's reagent,Milon's reagent,a,,Chemistry,,,,,,,
Chlorine gas can be dried by passing over,quick lime,soda lime,caustic potash sticks,concentrated sulphuric acid,d,,Chemistry,,,,,,,
