"question	a	b	c	d	correct	subject	question_image	a_image	b_image	c_image	d_image	mark",,
"Planck's constant has the dimension similar to	linear momentum	angular momentum	energy	power	b	Physics						",,
Resultant of the two forces $ F_1 $ and $ F_2 $ is $ F_1 $ and the resultant is at right angle to the force $ F_1 $," Then the force $ F_2 $ is equal to	$ 2F_1 $	0	$ F_1 $	$ \sqrt{2}F_1 $	d	Physics						",
"What is the minimum acceleration of the fireman sliding down a fixed vertical rope for which breaking strength is $ \alpha $ times his weight	$ \alpha g $	$ g/\alpha $	$ (\alpha – 1)g $	$ (1 - \alpha)g $	d	Physics						",,
When air bubble rises to the surface of water from below," then P.E. of the bubble	decreases	increases	remains constant	variable	a	Physics						",
"The distance moved by a particle in SHM in one time period is	A	2A	4A	zero	c	Physics						",,
When an elastic material with Young's modulus 'Y' is subjected to stretching stress 'S'," the elastic energy stored per unit volume of the material is	$ \frac{YS}{2} $	$ \frac{S^2}{2Y} $	$ \frac{2S^2}{Y} $	$ \frac{S}{2Y} $	b	Physics						",
"1 mole of Helium gas is mixed with 1 mole of Hydrogen gas. The molar specific heat of the mixture at constant volume is	3/2 R	5/2 R	2R	4R	c	Physics						",,
"The average speed of gas molecules in equilibrium at temperature T is	proportional to $ '\sqrt{T} $	proportional to T	proportional to $ T^2 $	zero	a	Physics						",,
"Two sound waves of equal intensity I produce beats. The maximum intensity of sound produced in beats will be	I	2A	$ 2\sqrt{2} I $	4I	d	Physics						",,
"A whistle giving out 450 Hz approaches a stationary observer at a speed of 33 m/s. The frequency heard by the observer in Hz is	409	517	429	500	d 	Physics						",,
A ray of light strikes a glass plate at an angle of $ 60^o $. If the reflected and refracted rays are perpendicular to each other," the index of refraction of glass is	½	$ \sqrt{3}/2 $	$ 3/2 $	$ \sqrt{3}	d	Physics						",
"Diffraction is not seen in case	if the screen is far	wavelength of light is smaller than slit	wavelength of light is greater than slit	wavelength is very large	b	Physics						",,
"If potential of one small drop is $ V_o $ and n each identical drops coalesce together then potential of large drop is	$ V= n^{1/3}V_o $	$ V= n^{2/3}V_o $	$ V= V_o $	$ V= n^{5/3}V_o $	b	Physics						",,
A battery of emf 'E' and internal resistance 'r' are used in a circuit with variable external resistance 'R'," then the value of R for which power consumed is maximum is	R = r/2	R = r	R = 2r	R = 4r	b	Physics						",
A piece of wire of resistance $ 4 \Omega $ is bent through $ 180^o $ at midpoint and two halves are twisted together," then their resistance is	$ 8 \Omega $	$ 1 \Omega $	$ 2 \Omega $	$ 5 \Omega $	b	Physics						",
At a certain place," horizontal component is $ \sqrt{3} $ times the vertical component. The angle of dip at this place is	0	$ \pi/3 $	$ \pi/6 $	$ \pi/2 $	c	Physics						",
"Work done in carrying an electron across a potential difference of 10 V is	0.1 eV	1 eV	10 eV	100 eV	c	Physics						",,
An electron enters a region where magnetic field (B) and electric field (E) are mutually perpendicular," then it will	always move in the direction of B	always move in the direction of E	always undergo circular motion	passes undeflected	d	Physics						",
A proton and $ \alpha $ particle are accelerated through same potential difference," The ratio of their de Broglie wavelength will be	$ 1: 1 $	$ 2\sqrt{2}: 1 $	$ 1: 2 $	$ 2:1 $	b	Physics						",
Silicon and silver both are cooled from $ 100^oC \space to \space 0^oC $," their conductivity changes as	conductivity of silicon increases	conductivity of silver decreases	both a and b	conductivity of silicon decreases and that of silver increases	d	Physics						",
"Ortho and para hydrogen differ in the	number of protons	molecular weight	nature of spins of protons	nature of spin of electrons	c	Chemistry						",,
"Which of the following is a component of Ruby?	$ CaCO_3 $	$ MgCO_3 $	$ Al_2O_3 $	$ Al(OH)_3 $	c	Chemistry						",,
"Chile saltpetre is an ore of	Iodine	Bromine	Magnesium	Sodium	d	Chemistry						",,
"Bromine can be liberated from KBr solution by	Iodine solution	Chlorine water	Sodium Chloride	Potassium iodide	b	Chemistry						",,
"Acidified $ K_2Cr_2O_7 $ turns green by	$ CO_2 $	$ CO $	$ SO_2 $	$ HCl $	c	Chemistry						",,
"Which of the following oxide is not an amphoteric oxide?	PbO	ZnO	MgO	$ Al_2O_3 $	c 	Chemistry						",,
"How many electrons in Ca have $ l=0 $?	6	8	10	12	b	Chemistry						",,
"$ ^{13}_6C \space and \space ^{14}_7N $ are	Isotopes	Isobars	Isotones	Isomers	c	Chemistry						",,
"Which of the following process involves cleavage of H – bonds?	sublimation of dry ice	melting of ice	dissociation of $ H_2 $ molecules	condensation of $ NH_3 $	b	Chemistry						",,
"KF combines with HF to form $ KHF_2 $. The compound contains species:	$ K^+F^- \space and \space H^+ $	$ K^+F^- \space and \space HF $	$ K^+ \space and \space [HF_2]^- $	$ [KHF]^+ \space and \space F^- $	c	Chemistry						",,
According to Fajan's rule," covalent bond is favoured by	small cation and large anion	large cation and small anion	large cation and large anion	small cation and small anion	a	Chemistry						",
