Unit,Chapter,Topic,IOE-1,IOE-2,IOM,MOE,IE Engineering,IE Medical,BPKIHS,KU Medical,KU Engineering
"Structure, Reproduction and Economic Importance of",Bacteria,"General account | structure and function of bacterial cells | concept of autotrophic and
heterotrophic life styles | economic importance of bacteria",,,1,1,,2,1,1,
"Structure, Reproduction and Economic Importance of",Virus,General account | Types of Viruses | Structure and economic importance,,,,,,,,,
"Structure, Reproduction and Economic Importance of",Lichens,General account | Structure and economic importance,,,,,,,,,
,,,,,,,,,,,
"Structure, Reproduction and Economic Importance of",Algae: Nostoc and Spirogyra,"Introduction to green, red and brown algae| Structure and reproduction of Spirogyra | Structure and reproduction of Nostoc",,,4,4,,6,5,4,
"Structure, Reproduction and Economic Importance of",Fungi: Mucor and Agaricus,"Zygomycetes | Ascomycetes | Basidiomycetes | Deuteromycetes |
Structure and reproduction of Zygomycetes (Mucor) | Structure and reproduction of Ascomycetes (Yeast)|Economic importance of fungi.",,,,,,,,,
"Structure, Reproduction and Economic Importance of",Bryophyta: Marchantia and Funaria,Morphology and life cycle of Marchantia | Morphology and life cycle of Funaria,,,,,,,,,
"Structure, Reproduction and Economic Importance of",Pteridophyta: Fern (Pteridium),Morphology and life cycle of Dryopteris,,,,,,,,,
"Structure, Reproduction and Economic Importance of",Gymnosperm: Pinus and Cycas,Brief morphological structure of Pinus structure and it's distribution | Brief morphological structure of Cycus structure and it's distribution,,,,,,,,,
,,,,,,,,,,,
Plant Morphology,Parts of typical Flowering Plants (Mustard),Root | stem | leaf | flower | fruit | seed | Economic Importance |,,,2,2,,3,3,2,
Plant Morphology,Leaf: Morphology and Modification,Morphology | Modification,,,,,,,,,
Plant Morphology,"Root: Regions of root, types and Modification",Regions of root | Types of Roots | Root Modification,,,,,,,,,
Plant Morphology,Stem: types and Modification,Types of Stem | Stem Modification,,,,,,,,,
Plant Morphology,Flower:Parts,Parts of Flower,,,,,,,,,
Plant Morphology,Seeds: Types,Types of Seed,,,,,,,,,
Plant Morphology,"Seeds:Dicot, Monocot",Monocot Seed | Dicot Seed,,,,,,,,,
,,,,,,,,,,,
Taxonomy of Angiosperm,Basic Concept of Taxonomy and Binomial Nomenclature,"Classification | binomial nomenclature | Shortcoming of two kingdom classification | Hierarchic system in classification, phylogeny| Five kingdom classification: Monera, Protista, Mycota, Plantae and Animalia",,,1,1,,1,1,1,
