Unit,Chapter,Topic,IOE-1,IOE-2,IOM,MOE,IE Engineering,IE Medical,BPKIHS,KU Medical,KU Engineering
General and Physical Chemistry,,,7,3,15,15,15,15,25,15,
General and Physical Chemistry,Language of Chemistry (Review Lectures),"Chemical equations, their significances and limitations|Balancing chemical equations by : hit and trail method|Balancing chemical equations by : Partial equation method|Types of chemical reaction",,,,,,,,,
General and Physical Chemistry,Chemical Arithmetic,"Dalton's atomic theory and Laws of Stoichiometry: Postulates of Dalton's atomic theory, Law of conservation of mass, Law of constant proportions, Law of multiple proportions, Law of reciprocal proportions, Law of gaseous volumes, Chemical calculations based on stoichiometry|Atomic Mass and Molecular Mass: Definition of atomic mass and molecular mass, Mole concept, Mole in term of mass, volume number and ions, Calculation based on mole concept|Empirical, Molecular Formula and Limiting Reactants: Percentage compositions, Derivation of empirical and molecular formula from percentage composition, Chemical calculation based on following chemical equation: Limiting reactants, Mass-mass relationship, Volume – volume relationship, Mass volume relationshi|Avogadro's Hypothesis and Its Applications: Development of Avogardro's hypothesis, Definition of Avogadro's hypothesis, Application of Avogadro's hypothesis: Deduction of atomicity of elementary gas,Deduction of relationship between molecular mass and vapour density,Deduction of molar volume of gases,Deduction of molecular formula from its volumetric compositio|Equivalent Masses: Concept of equivalent mass, Equivalent weight of elements, and compounds (Salt, acid , base, oxidising agents,, reducing agents), Gram equivalent weight (GEW), Relation between equivalent weight, valency and atomic weight, Determination of equivalent weight of metal by, Hydrogen displacement method, Oxide formation method",,,,,,,,,
General and Physical Chemistry,State of Matter,"Gaseous State:Boyle's law, Charle's law and Kelvin scale of temperature, application of Charle's law and Boyle's law, Combined gas law, ideal gas equation and universal gas constant, Dalton's law of partial pressure, Mathematical derivation of Dalton's law and their applications, Graham's law of diffusion and its applications, Kinetic model of gas and its postulates, Ideal and real gases, Deviation of gas from ideal behaviour, (Solving related numerical problems)|Liquid State: Physical properties of liquid, i. Evaporation and condensation, ii. Vapour pressure of liquid and boiling, iii. Surface tension, iv. Viscosity, Solution and solubility:, i. Equilibrium in saturated solution, ii. Solubility and solubility curve and its applications|Solid Statem: Crystalline and amorphous solids, Water of crystallization, Effloresences, Deliquesces, Hygroscopic, Seven types of crystal system, Simple cubic, face centered and body centered",,,,,,,,,
General and Physical Chemistry,Atomic Structure,"Discovery of fundamental particles of atom (electron, proton and neutron)|Concept of atomic number, mass number, fractional atomic mass, isotopes, isobars|Rutherford's α ray scattering experiment and nuclear model of atom; limitation|Bohr's model of atom and explanation of hydrogen spectra|Limitation of Bohr's model of atom|Elementary idea of quantum mechanical modeli. Dual nature of electron (de-Broglie equation),Heisenberg's uncertainty principle, Probability concept|Shape of atomic orbital (s and p orbitals only)|Quantum numbers|Pauli's exclustion principle|Hund's rule of maximum multiplicity|Aufbau principle and Bohr Bury rule|Electronic configuration of the atoms and ions(Z = 1 to 30)",,,,,,,,,
General and Physical Chemistry,Nuclear Chemistry,"Concept radioactivity|Radioactive rays (alpha ray, beta ray & gamma ray)|Meaning of natural and artificial radioactivity|Nuclear reactions, Nuclear energy (fission and fusion)|Nuclear isotopes and uses",,,,,,,,,
General and Physical Chemistry,Electronic Theory of Valency and Bonding,"Basic assumption of electronic theory of valency|Octet rule|Ionic bonds, ionic compounds and characteristics of ionic compounds. Lewis symbol to|represent the formation of ionic compounds|Covalent bonds, covalent compounds and characteristics of covalent compounds – Lewis|structure of some typical covalent compounds|Co-ordinate covalent bonds. Lewis structures of some typical co-ordinate covalent|compounds|Exception of the octet rule|Partial ionic characters of covalent compounds. Non-polar and polar covalent molecules|Dipole moments and its application|Some special types of bonds: hydrogen bond and its types, metallic bond, vander Waal's|bond, Resonance and resonance hybrid structures of $ O_3 $ , $ SO_3 $, $ SO_2 $, $ CO_3^{-2} $ , $ SO_4^{-2} $, $ PO_4^{-2} $ , $ NO_3 $ |Classification of crystalline solids: i. Ionic solid ii. Covalent solid iii. Molecular solid iv. Metallic solid",,,,,,,,,
General and Physical Chemistry,Periodic Classification of Elements,"Introduction|Mendeleev's periodic law and periodic table|Anamolies of Mendeleev's periodic table|Modern periodic law, and modern periodic table|Advantages of modern Periodic table|Division of elements into s,p, d and f blocks|Periodicity of physical properties: valency , atomic radii, ionic radii ionisation energy, electron|affinity and electronegativity (general trends only)",,,,,,,,,
General and Physical Chemistry,Oxidation and Reduction,"Classical concept of oxidation and reduction|Electronic interpretation of oxidation and reduction|Oxidation number and rules for the assignment of oxidation number|Differentiate between oxidation number and valency|Oxidising and reducing agent|Redox reaction|Balancing redox reactions by i. oxidation number method, ii. ion-electron method",,,,,,,,,
General and Physical Chemistry,Equilibria,Introduction|Equilibrium involving in physical change|Chemical equilibrium - Reversible and irreversible reactions - Dynamic nature of chemical equilibrium and its characteristics - Law of mass action - Equilibrium constant (Kc) and its characteristics - Homogenous and heterogeneous equilibrium - Relation between Kp and Kc (derivation) - Le-chatelier's principle and its application,,,,,,,,,
