Unit,Chapter,Topic,IOE-1,IOE-2,IOM,MOE,IE Engineering,IE Medical,BPKIHS,KU Medical,KU Engineering
Reading Passage,Passage,,0,5,,,5,5,5,,
Grammar,Preposition,,11,0,,,20,20,20,,
Grammar,Articles,,,,,,,,,,
Grammar,Conditional Sentences,,,,,,,,,,
Grammar,Pronouns,,,,,,,,,,
Grammar,Sentence Completion,,,,,,,,,,
Grammar,Subject Verb Agreement,,,,,,,,,,
Grammar,Use of Tens,,,,,,,,,,
Grammar,Verbs,,,,,,,,,,
Grammar,Voice,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Vocabulary,Narration,,2,0,,,5,5,5,,
Vocabulary,Synonyms,,,,,,,,,,
Vocabulary,Antonyms,,,,,,,,,,
,,,,,,,,,,,
Phonemes and Stress,Stress,,2,0,,,0,0,0,,
Phonemes and Stress,Sounds,,,,,,,,,,
