Unit,Chapter,Topic,IOE-1,IOE-2,IOM,MOE,IE Engineering,IE Medical,BPKIHS,KU Medical,KU Engineering
Set Theory and Functions,Set Theory,Universal Set|Null set|Power Set|Intersection of 2 sets|Difference of 2 sets|Complent of a set|Laws of Set Algebra|Union of 2 sets|Proper Subset|Symmetric Difference of 2 sets|,1,1,,,2,,,,
Set Theory and Functions,Relations and Functions,Properties of Relation|Reflexive Function|Relation|Functions|Range of Functions,,,,,,,,,
,,,,,,,,,,,
Algebra,Real Number System,Natural Numbers|Rational Numbers|Prime Numbers|Irrational Numbers|Closed and Open Interval|,2,6,,,8,,,,
Algebra,Logarithms,Properties of logarithms|,,,,,,,,,
Algebra,Matrix and Determinant,Properties of Matrices|Inverse of a Matrix|Properties of Matrix|Determinant of a Matrix|Adjoint of a Matrix,,,,,,,,,
Algebra,Sequence and Series,Arithmetic Series|Geometric Series| Harmonic Series|Arithmetic Mean| Relation between AM and GM|Infinite Series|,,,,,,,,,
Algebra,"Binomial Theorem, Exponential and Logarithmic Series",Binomial Theorem|Exponential Series|Logarithmic Series|,,,,,,,,,
Algebra,Complex Numbers,Conjugate of a complex number| Absolute Value of a complex number| Multiplicative inverse of a compex number| Properties of Complex Number| Square root of Complex Number|Polar form of Complex Number|Cube root of unity|,,,,,,,,,
Algebra,Polynomial Equations,Quadratic Equation|Definition of Polynomial Equation|Roots of a quadratic equation|,,,,,,,,,
Algebra,Permutation and Combination,Permutation|Combination|,,,,,,,,,
,,,,,,,,,,,
Trigonometry,Trigonometric Functions,Introduction|Important Values|Periodic Funtion,1,2,,,3,,,,
Trigonometry,Properties of Triangle,Orthrocenter|Ex-Radius of a Triangle|In-Radius of a Triangle|Circum Radius of a Triangle|Ex-Radius of a Triangle|,,,,,,,,,
Trigonometry,Inverse Circular Function,Principle Value|Properties of Inverse Function|,,,,,,,,,
Trigonometry,General Values,Principal Value|General Solution,,,,,,,,,
,,,,,,,,,,,
Vector Algebra,Vector Algebra,Properties of Vector|Unit Vector|Vector Product of 2 vectors|Cross product of 2 Vectors|Projection of a vector|Relation between scalar and vector product|Coplanar Vectors,1,1,,,2,,,,
,,,,,,,,,,,
Coordinate Geometry,The Straight Line,Distance between 2 points|Centroid of a triangle|Section Formula|Incenter of a triangle|Area of Triangle|Gradient of Line|Bisector of the lines,2,5,,,7,,,,
Coordinate Geometry,Pair of Straight Lines,Pair of Straight Lines,,,,,,,,,
Coordinate Geometry,The Circle,Radius of a circle|Polar of circle|Tangent of a circle|Properties of circle|Equation of a circle,,,,,,,,,
Coordinate Geometry,The Parabola,Eccentricity|Latus Rectum|Tangent to a parabola|Chord of a Parabola|Normal of a parabola|Locus of intersection of Tangents|Length of Chord|Sum of Slopes|Double ordinate of a Parabola|Directrix of Parabola|Length of Latus Rectum|Angle between Tangents|Poles of Tangent,,,,,,,,,
Coordinate Geometry,Linear Equations,Consistency of Linear Equations|Trivial Solutions,,,,,,,,,
Coordinate Geometry,Coordinate in Space,Section Formula|Center of Sphere|Line in space|Orthogonal Lines|Polar coordinates|Direction Cosines,,,,,,,,,
Coordinate Geometry,The Plane,Co-ordinate Axes|Interceps |Coplanar Points|Equation of the Plane|Distance between Planes|Coplanar Points|Pair of Lines|Angle between planes|,,,,,,,,,
,,,,,,,,,,,
Calculus,Limits and Continuity,Limit,3,5,,,8,,,,
Calculus,Differentiation,Differentiation,,,,,,,,,
Calculus,Integration,Integration I|Integration II|Integration III,,,,,,,,,
Calculus,Application of Derivatives and Antiderivatives,Extreme Values | Application of Derivatives | Application of Integration,,,,,,,,,
,,,,,,,,,,,
Probability,Probability,Sample Space|Exhaustive Cases|Mutually Exclusive Events|Mutually Non Exclusive Events,,,,,,,,,
