Unit,Chapter,Topic,IOE-1,IOE-2,IOM,MOE,IE Engineering,IE Medical,BPKIHS,KU Medical,KU Engineering
Mechanics,Unit and Dimension,Need for measurements | System of units| S.I. unit | Precision and significant figures| Dimensions Main uses of dimensional equations,2,5,5,8,8,8,13,8,
Mechanics,Motion in one Dimension,"Uniform and non-uniform motion| Average velocity and acceleration, Instantaneous velocity and acceleration| Equation of motion (graphical treatment)| Motion of a freely falling body| Relative velocity|",,,,,,,,,
Mechanics,Motion in Plane and Projectile Motion,Motion in Plane and Projectile Motion,,,,,,,,,
Mechanics,"Newton's law of Motion, Force, Center of Mass and Conservation of Momentum","Motion-Newton’s laws of motion: Inertia, force, linear momentum, impulse| Conservation of linear momentum| Free- body diagrams|  Application of Newton’s laws: Particle in equilibrium, dynamics of particle",,,,,,,,,
Mechanics,Vector Analysis,"Graphical presentation of vectors | Addition and subtraction of vectors  Parallelogram, triangle and polygon laws of vectors | Resolution of vectors | Unit vectors | Scalar and vector products",,,,,,,,,
Mechanics,Friction,Solid friction: Laws of solid friction and their verifications|,,,,,,,,,
Mechanics,"Work, Energy, Power and Collision",Work done by a constant force and a variable force| Power| Energy: Kinetic energy| Work- energy theorem| Potential energy| Conservation of energy| Conservative and non-conservative forces| Elastic and inelastic collisions,,,,,,,,,
Mechanics,Circular Motion,"Angular displacement, velocity and acceleration| Relation between angular and linear velocity and acceleration| Centripetal acceleration| Centripetal force| Conical pendulum| Motion in a vertical circle| Motion of cars and cyclist round a banked track",,,,,,,,,
Mechanics,Rotational Kinematics and Rotational Dynamics,"Moment of forces| Torque| Torque due to a couple| Center of mass| Center of gravity, Conditions of equilibrium| Rotation of rigid bodies| Equation of angular motion| Relation between linear and angular kinematics| Kinetic energy of rotation of rigid body| Moment of inertia| Radius of gyration| Moment of inertia of a uniform rod| Torque and angular acceleration for a rigid body| Work and power in rotational motion, Angular momentum, conservation of angular momentum",,,,,,,,,
Mechanics,"Gravitation, Motion of Satellite and Planet","Newton’s law of gravitation| Acceleration due to gravity, g| Mass and weight| Gravitational field strength| Variation in value of ‘g’ due to altitude, depth and rotation of the earth| Weightlessness| Motion of a satellite: Orbital velocity and time period of the satellite, geostationary satellite, potential and kinetic energy of the satellite| Gravitational potential| Gravitational potential energy| Escape velocity| Black holes",,,,,,,,,
