Unit,Chapter,Topic,IOE-1,IOE-2,IOM,MOE,IE Engineering,IE Medical,BPKIHS,KU Medical,KU Engineering
Introduction,"Scope and branches of Biology, its relation with other subjects",Nature and scope of Biology|Branch and relation with other sciences||General approach to understand life processes,,,1,1,,1,1,1,
Introduction,"Life and its origin, Oparin and Halden's Theory, Miller Urey Experiment","Life and its origin|Theories of origin of life|Oparin and Haldane's Theory|Miller and Urey's experiment|Meaning of evolution, organic evolution|Evidences of evolution, structural, anatomical, Paleontological, Embryological & Biochemical | Lamarckism, Darwinism & concept of Neo Darwinism | Human evolution.",,,,,,,,,
Introduction,Life Components (Organic and InOrganic),Life Components (Organic and InOrganic),,,,,,,,,
,,,,,,,,,,,
Animal Diversity and their Classification,"General Characterstics and its classification upto class with examples of: Protozoa, Porifera, Coelenterata, Platyhelminthes, Aschelminthes, Annelida, Arthropoda, Mollusca, Echinodermata and Chordata",General Characterstics and its classification of Protozoa |General Characterstics and its classification of Porifera|General Characterstics and its classification of Coelenterata | General Characterstics and its classification of Platyhelminthes | General Characterstics and its classification of Aschelminthes |General Characterstics and its classification of Annelida | General Characterstics and its classification of Arthropoda |General Characterstics and its classification of Mollusca |General Characterstics and its classification of Echinodermata |General Characterstics and its classification of Chordata,,,2,1,,2,1,1,
,,,,,,,,,,,
Biology of the following ,Plasmodium Vivax,"Habit and habitat, structure | Reproduction and lifecycle of Plasmodium vivax | Concept of P. falciparum",,,12,8,,12,10,8,
Biology of the following ,Paramecium Caudatum,"Habit and habitat, structure | Reproduction and lifecycle of Paramecium Caudatum ",,,,,,,,,
Biology of the following ,Pheretima Posthuma,"Habit and habitat | structure |digestive, excretory, reproductive and
nervous systems| Economic importance.",,,,,,,,,
Biology of the following ,Rana Tigrina,"Habit and habitat | structure | Digestive, excretory, reproductive and
nervous systems| Economic importance",,,,,,,,,
Biology of the following ,Mammal (Rabbit/Man),"Habit and habitat | Structure | Digestive System | Excretory system  | Reproductive System and
Nervous systems | Sense Organs (Eye, Ear) | Circulatory System | Respiratory System",,,,,,,,,
,,,,,,,,,,,
Human Disease,"Socially Significant: Drug abuse, Alcoholism and Smoking",Drug abuse |Alcoholism | Smoking,,,1,1,,1,1,1,
Human Disease,"Communicable: Typhoid, Tuberculosis, Ascaris, Giardiasis and AIDS",Typhoid | Tuberculosis | Ascaris | Giardiasis | AIDS | Diptheria | Measles | Mumps | Rubella|kalazar|Hepatitis,,,,,,,,,
Human Disease,Non-Communicable: Cancer,Cancer,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Rabbit Bones,Appendicular and Axial,Appendicular and Axial,,,3,2,,3,3,2,
,,,,,,,,,,,
Endocrinology of Mammal,"Pitutary, Thyroid and Parathyroid, adrenal, Islets of Langerhans",Pitutary Gland | Thyroid Gland | Parathyroid Gland | Adrenal Gland | Islets of Langerhans,,,2,1,,2,2,1,
,,,,,,,,,,,
Animal Tissues,"Epithelial, Connective, Muscular and Nervous",Epithelial Tissue | Connective Tissue | Muscular Tissue | Nervous Tissue,,,1,1,,1,1,1,
,,,,,,,,,,,
Animal Behavior,Reflex Action,Reflex Action,,,2,1,,2,1,1,
Animal Behavior,Taxes,Taxes,,,,,,,,,
Animal Behavior,Leadership,Leadership,,,,,,,,,
Animal Behavior,Migration of Fishes and Birds,Migration of Fishes and Birds,,,,,,,,,
,,,,,,,,,,,
Animal Adaption,Aquatic,Aquatic Adaption,,,1,1,,1,1,1,
Animal Adaption,Amphibians,Amphibians Adaption,,,,,,,,,
Animal Adaption,Volant,Volant Adaption,,,,,,,,,
Animal Adaption,Dessert and Parasitic,Dessert Adaption | Parasitic Adaption,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Evolution,"Definition, Organic Evolution","Definition, Organic Evolution",,,3,2,,3,3,2,
Evolution,"History, theories of Organic Evolution",History of Organic Evolution | Theories of Organic Evolution,,,,,,,,,
Evolution,Evidences of Organic Evolution,Evidences of Organic Evolution,,,,,,,,,
Evolution,Human Evolution,Human Evolution,,,,,,,,,
,,,,,,,,,,,
Developmental Biology,Development of Frog (Embroyonic and Post Embroyonics development),Fertilization | Cleavage | Morulation | Blastulation | Gastrulation | Formation of germinal layers | Coelom and tissue formation | Gametogeneisis in animal,,,2,1,,2,1,1,
